date,time,age,confirmed,deceased
5/30/2020,0,70s,725,79
5/30/2020,0,80s,498,131
5/31/2020,0,0s,157,0
5/31/2020,0,10s,655,0
5/31/2020,0,20s,3176,0
5/31/2020,0,30s,1292,2
5/31/2020,0,40s,1521,3
5/31/2020,0,50s,2039,15
5/31/2020,0,60s,1405,39
5/31/2020,0,70s,725,80
5/31/2020,0,80s,498,131
6/1/2020,0,0s,158,0
6/1/2020,0,10s,657,0
6/1/2020,0,20s,3178,0
6/1/2020,0,30s,1296,2
6/1/2020,0,40s,1527,3
6/1/2020,0,50s,2052,15
6/1/2020,0,60s,1410,39
6/1/2020,0,70s,727,80
6/1/2020,0,80s,498,132
6/2/2020,0,0s,158,0
6/2/2020,0,10s,659,0
6/2/2020,0,20s,3183,0
6/2/2020,0,30s,1299,2
6/2/2020,0,40s,1529,3
6/2/2020,0,50s,2061,15
6/2/2020,0,60s,1421,39
6/2/2020,0,70s,732,80
6/2/2020,0,80s,499,133
6/3/2020,0,0s,159,0
6/3/2020,0,10s,661,0
6/3/2020,0,20s,3188,0
6/3/2020,0,30s,1305,2
6/3/2020,0,40s,1534,3
6/3/2020,0,50s,2070,15
6/3/2020,0,60s,1436,39
